,id,sentiment,tweet,label_a
151,151,NOT,I wonder if the face recognition on my iPhone ever goes 'damn this dude ugly.' #iPhoneX,0
152,152,NOT,Cavs good win tonight,0
153,153,NOT,Been fw PnB new album heavyyy,0
154,154,NOT,i see u bighit staff with the video cameras cmon bangtan bobm,0
155,155,NOT,"@inalonelyplace_ look, i'm probably just gonna settle down and watch like 15 hours of football tomorrow but i'm happy yo",0
156,156,NEG,"#takedownmilliebobbybrown she is a  ""fat"" shamer , racist  and might be a white supremacist ? TAKE HER DOWN",1
157,157,NEG,"St. John's is such a fucking clownshow when it comes to anything that isn't men's basketball, I swear to fucking Christ fucking almighty.",1
158,158,NOT,"Damaske backhands one off the goalie,  Case puts it away.  6-3 Warriors with 6:34 left.",0
159,159,NOT,Does binge watching the office count as studying?,0
160,160,NOT,in a breakfast burrito,0
161,161,NOT,"Tweet didn't go through from my phone, but I was in a nearby parking lot and was told to leave as they expanded the scene.",0
162,162,NOT,@HPEmichael @CourierTSports @Tweet_the_Wheat Lady basketball trails EDHS 19-20 at the half.,0
163,163,NOT,The next day we went to Chicken Filay... some place in the mall!,0
164,164,NOT,But I hardly ever eat breakfast/breakfast food,0
165,165,NOT,"I'm ""rented VHS porn in a back room at a family video store"" years old.",0
166,166,NOT,Can’t watch the @Lakers game tonite <br/>How we looking @Tveez_World,0
167,167,NOT,Just finished week 7 day 3 of #C25K® on #Android with @c25kfree! #everymomentcounts #run #running #health #fitness #workout,0
168,168,NOT,@ktfuntweets @tovash10 @geegee_80 @JC1053 This is crazy.  She's even married to the football coach...or was.,0
169,169,NOT,"End 1Q: Clippers 27, Cavs 24. James 9p,5r,1a; Crowder 7p; Love 6p,2r. LAC Jordan 12p,5r; Griffin 5p,6r. CLE 43%,2TO. LAC 52%,5TO.",0
170,170,NOT,you know a forum post you're looking at is old when it has links to a photobucket album,0
171,171,NEG,"@nicolaschevobbe @firefox @potch LOL and ""help"" is useless. I gave up. Maybe it just doesn't like HP",1
172,172,NOT,@Musicpounds @peterkay_co_uk amazon tickets still showing availability,0
173,173,NOT,"@realDonaldTrump You've touched on the UCLA players, the NFL, Franken and vilified Gillespie.  Why no mention on Roy Moore?",0
174,174,NOT,Congrats to the football team. LUCAS OIL!!!!!!,0
175,175,NEG,Again did not watch the ENTIRE video. She started kissing the dog I got disgusted and shut the clip off.,1
176,176,NOT,“Pick a movie and I’ll run you a bath”,0
177,177,NOT,and suddenly the whole scene played in slow motion,0
178,178,NOT,@Apple why is the Apple Watch charger longer than the iPhone charger???,0
179,179,NEG,"@pamelaivys Joss Whedon also saved the movie from being horrible, moron",1
180,180,NEG,and i really dont care about your favorite group masuk top 5 billboard with their japanese album,1
181,181,NOT,ur wifey sayin i lookin like a whole snack ..,0
182,182,NOT,bring back tay ai @Microsoft,0
183,183,NOT,@whatithink1234 @theonlyublies @_MrsAtheist_ @whitejaegar I don't need to be told what words mean by a google search.,0
184,184,NOT,@nandoh yummy,0
185,185,NOT,"Sonny ""Sweet Lick Cat"" Walnut",0
186,186,NOT,@wattersjames It's a great day for hockey...,0
187,187,NOT,"@Kohls LoL you're going to have a lot of shirts left, get the hockey stuff out #takeakneefromnfl",0
188,188,NOT,#NowPlaying Rihanna - Towards the Sun (From The Home Soundtrack) - Rihanna - Towards the Sun (From The Home Soundtrack) #musicforfamilies,0
189,189,NEG,Netflix has the worst movie selection ever no wonder everyone just starts having sex instead,1
190,190,NEG,honestly fuck you,1
191,191,NOT,Pumpkin pie for breakfast. No complaints on my end.,0
192,192,NEG,Google really can be a terrible thing cause I self diagnose myself with stuff and then I can’t text my mom about it because it’s nearly 4 AM,1
193,193,NOT,Your video was beautiful!!! I had to stop watching when I saw Davis crying because my heart couldn’t take it!!!!!!! @itsbl0ndie,0
194,194,NOT,Someone bring me food to workkk:/,0
195,195,NOT,Lol cavs down 2,0
196,196,NOT,@NFL Which players haven't took a knee yet?,0
197,197,NOT,So who has an Xbox?,0
198,198,NOT,Who would wanna see a lil Distorted pop up in Reading ?,0
199,199,NOT,@HeartfiliaGuy77 Sure thing. You’ll enjoy the movie a lot. Nice to see all the OG servants again.,0
200,200,NOT,Noses are granny smith apple zinnias are khaki sugar is sweet and so on,0
201,201,NOT,The North London Derby tomorrow Arsenal v Spurs . SS1 at 11:30 am.. join us...,0
202,202,NOT,fat naked animated woman womb kissings sex,0
203,203,NOT,"@ijessicasyj I had a nice lunch, how about you eonni",0
204,204,NEG,I have literally no one to vent to but it’s coo. I gotta vent to myself &amp; wipe my own tears. 💯,1
205,205,NOT,Joycons are boneless Wii motes,0
206,206,NOT,Imagine you roll up to the family reunion with leftovers as your food contribution,0
207,207,NOT,@BarstoolBigCat Just wait til rookie Kevin White bursts on to the scene next year,0
208,208,NOT,Tuition is generally more than a year’s salary for grad students. Many grad students qualify for food stamps or other assistance.,0
209,209,NOT,I need a new @rihanna album. I love that she killing the make up game but I’m ready for the album,0
210,210,NOT,"FINAL: Rayne 28, Leesville 7. @Wampus_Cats finish the year 10-2 with a district championship.",0
211,211,NOT,@Sole_Miz Or the post office right?,0
212,212,NOT,Red Raiders 20-6 win in chicken bowl.,0
213,213,NOT,Lakers can’t get a call man.,0
214,214,NOT,"Do fat people find it offensive when they get called ""big guy"" 🤔",0
215,215,NOT,red velvet's new album YES,0
216,216,NEG,Just like literally use google once in a while itll really help you from looking like a disrespectful fool,1
217,217,NOT,i'm probably only gonna tweet ryan gosling related stuff for a while bc i wanna show off how much i love a talented amazing actor,0
218,218,NOT,Imma need Baker Mayfield in a big market in the NFL. Dude has a big personality &amp; I love it!,0
219,219,NOT,"TRADER: Can I use the Robot with ECN Brokers? FX EA: Yes, I can make big profits with IronFX and other top brokers #USDJPY #XAGUSD #ZeroSwap",0
220,220,NOT,"@coronitaa__ on technicality, I hit like 50x",0
221,221,NOT,Ready for an Aquaman movie #JusticeLeague,0
222,222,NOT,Just watched @itsbl0ndie’s wedding video and cried the entire time.. i dream i find a love like that in the future ❤️ Congrats Casey &amp; Davis,0
223,223,NOT,"@RyanJSergeant @NFL I love having two or more players involved, like it’s a team sport or something.",0
224,224,NOT,It has now been 48 days since @BrockLesnar last defended the @WWE Universal Championship.,0
225,225,NOT,"Did the Australian Commission at #UFCSydney record Fabricio Werdum’s weight with, and without, the boomerang?",0
226,226,NOT,I need ice cream for this,0
227,227,NEG,I hate how dehumanizing being fat feels,1
228,228,NEG,Why am i at this Loyola basketball game 😒😒😒😒,1
229,229,NOT,@Shorty6lac Ayo let me get the link to that video up off you lls,0
230,230,NOT,I ate some Chinese food this morning before work 🥡 one of the best decisions I’ve made,0
231,231,NOT,Brandon Ingram is just skating to the basket on every play. I like it,0
232,232,NOT,Parenthood has such an amazing soundtrack.,0
233,233,NOT,"@smashmode @TuckeratSR Seattle, for sure. NHL has been wanting to get into this market for years.",0
234,234,NOT,"@themardia bookmarking this for the inevitable ""I've just realised I'm msissing a scene"" moment that ads 4k to the end word count",0
235,235,NEG,after peewee longway im threwwww with the club scene  💁,1
236,236,NOT,.@SearchInfra2 I enjoy food with lots of flavor : 10444104-7437-49d1-a489-6d8186071860,0
237,237,NOT,@DennisHouseTV @karasundlun @WonderTheMovie @WFSBnews Fantastic movie. Owen Wilson and Julia Roberts were great,0
238,238,NOT,i mix the milk with the cereal,0
239,239,NOT,I had a Dr. Pepper and cherry ice cream float for breakfast this morning because I AM AN ADULT!,0
240,240,NOT,@aplinks22 @mariakateleen So happy for you apps 😁👏,0
241,241,NOT,@Silvergatomon What model of camera do you use to video convention programming? @Foxfurous,0
242,242,NOT,I ready for bed,0
243,243,NOT,On my lunch &amp; it's busy as hell here. Nothing new though this time of year with Thanksgiving being next week and all.,0
244,244,NOT,Jalen Ramsey video where says “you tell me” has me dead every day 😂😂😂 that will never get old,0
245,245,NOT,McDonalds be putting Pop Rocks or SOMETHING in they sprite,0
246,246,NOT,@gertcorf @pmandrews1973 If you have an iPhone you can save it to iBooks and it is immediately accessible for reference in the field.,0
247,247,NOT,there’s a fire in my chest<br/>a forest is burning down inside me<br/>smoke is choking my lungs<br/>I long for the sweet air<br/>of her night sky eyes,0
248,248,NEG,@LANDERMAN_10 I’ve never felt so sick. I hate fast food,1
249,249,NOT,"@SheilaRunke Thank you, sweet Sheila! Me, too!",0
250,250,NOT,@iamnagarjuna Rgv nthg new again the same thing stills are like 2010 movie @iamnagarjuna sir we expect alot from u bt this is  unmatched,0
251,251,NOT,@ToddBigPhoto what have been your impression of the iPhone X?,0
252,252,NEG,Cavs suck 😂,1
253,253,NOT,"Now playing Our Turf Football: Goodell vs. Jones, Bridgewater, and Concussions by Dayna O'Gorman &amp; Lisa Johnson!",0
254,254,NEG,Packed lunch still bought lunch 😢,1
255,255,NOT,Pacers wearing those Cavs throwback unis?,0
256,256,NOT,@ZiddiLadki20 seach on google n disable it,0
257,257,NOT,On hand at Chilhowie as the Warriors are set to take on Hurley in the second round of the Region 1D football playoffs #hcfh,0
258,258,NOT,@IamAkademiks u know Akademiks finna make a video on this very shortly,0
259,259,NOT,@ScottGandhi I have a pixel 2 XL and came from Apple and haven't regretted it once,0
260,260,NOT,@cheeseisverygud @SkylordSuckz <br/>- a bright sunny day<br/>- madelaine petsch <br/>- comfort food<br/>- dreaming<br/>- Riverdale <br/>- yellow<br/>- nice nails,0
261,261,NOT,@literallyemmy ur so sweet😭,0
262,262,NOT,@Google @madebygoogle Enable Allo to be set as a default SMS app? Yes or No?,0
263,263,NOT,.@CVSDeagles receive the opening kickoff from @hempfield and we are underway in the District 3 Class 6A football semifinals. #LNPFootball,0
264,264,NOT,Smoke a blunt and watch a movie,0
265,265,NOT,@the_moonshadow Super yummy. My Husband and I Favorite,0
266,266,NOT,"@ilanapeskin That's the official song of the Olympics now, too.",0
267,267,NOT,lemme guess... they're gonna make a Guts Negan Pop figure...,0
268,268,NOT,"@el_diamante3 Hindsight, I probably would have invested in google, Tesla, or Apple.",0
269,269,NOT,@itsbl0ndie @YouTube Absolutely amazing !! There’s no way anyone can hold back tears watching that video ! So happy for you guys !!,0
270,270,NOT,"get u girl like me, i can eat noodles and not eat noodles",0
271,271,NOT,Good morning I love Seventeen with my whole big fat heart.,0
272,272,NOT,@BillTaylorNY Football regional final,0
273,273,NEG,@TommyDaTuba dont get me started on an erotic chicken little fan fiction i accidentally read one time 😬,1
274,274,NOT,@brln I think the iPhone 8/X’s cpu is proof of that. I don’t know if they are close enough in gpu. But certainly close in cpu.,0
275,275,NOT,Gaga just said that she didn't had enough time to shoot a music video for The Cure because she was working for ASIB and Coachella,0
276,276,NOT,@FrankVelat I want a NASCAR championship for my state,0
277,277,NEG,I only had a monster and a pastry for breakfast #betacon18 the dennys here sucks we walked out 😂,1
278,278,NOT,@BatmanNewsCom Thor was great,0
279,279,NOT,@GooogleDuo please add picture in picture support for this app on Pixel 2 Oreo!<br/><br/>@madebygoogle,0
280,280,NOT,So excited for homecoming tomorrow plus cross country competing in the NCAA Championship. It's a great time to be a Hillcat!,0
281,281,NOT,anal mom movie beautiful couple having sex nude photos of mississippi girls free wap sex 3gp,0
282,282,NOT,@carnagedormammu Do you have OW on Xbox one?,0
283,283,NOT,this movie is way more artsy/good looking than I thought it would be,0
284,284,NEG,I don’t like the Playstation App redesign. Miss the old one already.,1
285,285,NOT,Hey sweeties just remember I’m not camming this evening I’m making a video instead!,0
286,286,NOT,"@MaskedShad0w It's just a game, Akali &gt;u•<br/>I still love your cooking after all",0
287,287,NOT,Cavaliers' Derrick Rose out two more weeks due to sprained ankle,0
288,288,NEG,I’ve been trying to upload my fanchant video for an hour now oznwks,1
289,289,NOT,Just passed Church’s Chicken on Wilkinson - Atvlesst 10 cars in parking lot. <br/><br/>It’s 10:30 in the AM - Who eating … never mind.,0
290,290,NOT,Lonzo ball really might be the basketball version of robo QB aka Todd Marinovich,0
291,291,NOT,lays on the ground<br/>sims 4 is on xbox one<br/>want it,0
292,292,NEG,I already miss High School Football,1
293,293,NOT,@JonAcuff * and please video yourself putting said bird into fryer.,0
294,294,NOT,@empyreall @JaysonWasHere Adult skating is only on Sunday nights!,0
295,295,NOT,@babythor They pass that turnover chain around like hot potato every game,0
296,296,NOT,"Pau Gasol makes both of his free throws and it's 104-101 Spurs, 2.3 seconds left.",0
297,297,NOT,Solo flight,0
298,298,NOT,Sea food so good 😩,0
299,299,NOT,"@Kvrmaa_Trill @LeBronsUNIVERSE @cavs Heres the package , shump , TT , DROSE , PICK = BOOGIE OR MARC GASOL",0
300,300,NOT,Does anyone wanna help me put up fliers for the LGBTRC today? I will get u coffee or food or whatever,0
301,301,NOT,just listened to samuel's album and i CAN confirm: NO. BAD. SONGS.,0
302,302,NOT,"@FranchiseKicks @YouTube This is my favorite style of video that you make. Keep it up bro, don't know anyone else who does this",0
303,303,NEG,"@SanitySane123 @ThunderBugTBL <br/>@Malektronic &amp;<br/>@AndreaRuthruff <br/><br/>Andrea's really off her hockey game this year, too much pizza.",1
304,304,NOT,@ME_MOOREENT You don’t know how to cook bro?,0
305,305,NOT,c_combe We're so excited for you! The Fossil Q Control works with the Android Wear App only. #Relojes #Fossil,0
306,306,NOT,Brookdale Men’s Basketball with former SJV player Grant Goode vs Passaic County Community College on Saturday @ 3:00PM #sjvgraduate,0
307,307,NOT,#PIAASOCCER: Norwin claims the 4A Girls Championship 1-0 over Neshaminy. Thank you both for a great game!,0
308,308,NOT,"@TheRyanGains I also had a Palm, a Motorola, and a pre-Android Samsung",0
309,309,NEG,"@raaahulpandey @gabbar_je @amazonIN @AmazonHelp They are not Amazon,they are #AbeJan @amazonIN <br/>#AmazonSucks",1
310,310,NOT,"OMG! @LaurenJauregui spreads so much love on stage, she feels every word of every song and it got me emotional. I love this chicken so much",0
311,311,NEG,@AppleSupport fix the damn update that ruined ever iphone except the 8 and X,1
312,312,NEG,If I catch another motherfucker talking shit about XBOX im fucking beating they ass Im not fucking playing nomore!,1
313,313,NOT,Badminton<br/><br/>BWF Superseries 2017 <br/>1000 TAHOE China Open - Star Sports 2 | SS HD2,0
314,314,NOT,The most awaited movie of 2018. can't wait! <br/>50 DAYS TO PSPK25,0
315,315,NEG,Why females think we got beef because we use to talked to the same nigga? Girl fuck you &amp; him 🤣🤣😂😂,1
316,316,NOT,Vote for my guys @KCBoutThatLife @AnthonyBarr @EricKendricks54 for this yr @NFL #ProBowl2017 #GoBruins,0
317,317,NOT,@NotoriousKeee Let me know when u do,0
318,318,NOT,Great morning. Family pictures and breakfast😍,0
